sku,allow_large_letter,packed_weight_g,dim_h_mm,dim_w_mm,dim_d_mm
CHK-115-DLT-P2,FALSE,480.0,,,
eCAK-200-CHK-P3,FALSE,800.0,,,
313413960201_Coconut_3,FALSE,450.0,,,
CHK-115-DLT-P1,FALSE,260.0,,,
CHK-075-WTS-P6,TRUE,520.0,,,
SPD-350-HZL-P2,FALSE,1200.0,,,
BRB-YAC-P1,TRUE,30.0,,,
SPD-350-HZL-P1,FALSE,600.0,,,
CAK-200-ORG-P1,FALSE,350.0,,,
CHK-030-BBL-P6,TRUE,220.0,,,
COK-130-CHP-P7,FALSE,1350.0,,,
CHK-085-MKM-P1,FALSE,135.0,,,
CHK-075-WTS-P4,TRUE,360.0,,,
CHK-075-CPS-P6,TRUE,520.0,,,
BRB-YFF-P2,TRUE,350.0,,,
CHK-085-HZM-P1,TRUE,135.0,,,
CHK-030-BBL-P4,TRUE,170.0,,,
CHK-075-WTS-P1,TRUE,140.0,,,
CHK-DKG-P2,TRUE,150.0,,,
BRB-YCH-P4,TRUE,150.0,,,
WFR-160-CHC-P2,FALSE,370.0,,,
GMY-075-BER-P2,TRUE,200.0,,,
CHK-085-HZM-P4,TRUE,415.0,,,
